filename,recognized_plate,status
"P1010001.jpg","1171NVX75","OK"
"P1010002.jpg","","OK"
"P1010003.jpg","819KXH75","OK"
"P1010004.jpg","DU7488H","OK"
"P1010005.jpg","VSGD3164","OK"
"P1010006.jpg","KIQ3GC","OK"
"P6040007.jpg","LLJ465H","OK"
"P6040008.jpg","J21","OK"
"P6040009.jpg","L","OK"
"P6040010.jpg","1","OK"
"P6040011.jpg","8EJ5345","OK"
"P6040012.jpg","SK253CL","OK"
"P6040013.jpg","ZG6UR1","OK"
"P6040014.jpg","ZG9787IS","OK"
"P6040015.jpg","","OK"
"P6040016.jpg","0909MD","OK"
"P6040017.jpg","ZG884AM","OK"
"P6040018.jpg","","OK"
"P6040019.jpg","I","OK"
"P6040020.jpg","","OK"
"P6040021.jpg","ZG87ZTF","OK"
"P6040022.jpg","637LV1","OK"
"P6040023.jpg","ZG4513R","OK"
"P6040024.jpg","9FT","OK"
"P6040025.jpg","ZG5715AK1","OK"
"P6040026.jpg","ZG4269AC","OK"
"P6040027.jpg","MAQ398AG","OK"
"P6040028.jpg","C","OK"
"P6040029.jpg","EDAL551","OK"
"P6040030.jpg","LDJ100EE","OK"
"P6040031.jpg","","OK"
"P6040032.jpg","ZD53CH","OK"
"P6040033.jpg","ZG93585AI","OK"
"P6040034.jpg","","OK"
"P6040035.jpg","EZG25","OK"
"P6040036.jpg","FAM165","OK"
"P6040037.jpg","ZG9158AK","OK"
"P6040038.jpg","ZG763VE","OK"
"P6040039.jpg","SK180DM","OK"
"P6040040.jpg","BU678RX","OK"
"P6040041.jpg","9I663DN","OK"
"P6040042.jpg","LZG8000Z","OK"
"P6040043.jpg","ZG990NL","OK"
"P6040044.jpg","","OK"
"P6040045.jpg","ZG6G82AKJ","OK"
"P6040046.jpg","PU742HV","OK"
"P6040047.jpg","ZG4240ACBB","OK"
"P6040048.jpg","71AE","OK"
"P6040049.jpg","LI4O","OK"
"P6040050.jpg","ST329JH","OK"
"P6040051.jpg","W21337S","OK"
"P6040052.jpg","","OK"
"P6040053.jpg","KA451CC","OK"
"P6040054.jpg","IM94S","OK"
"P6040055.jpg","K1","OK"
"P6040056.jpg","","OK"
"P6040057.jpg","VT809T","OK"
"P6040058.jpg","KZ386L","OK"
"P6040059.jpg","NG6I9A4","OK"
"P6040060.jpg","PU865HZ","OK"
"P6040061.jpg","PU2D3ID","OK"
"P6040062.jpg","LHGAS1802","OK"
"P6040063.jpg","ZG4459L","OK"
"P6040064.jpg","V820DD","OK"
"P6040065.jpg","2216YE06","OK"
"P6040066.jpg","ZG6839AI","OK"
"P6040067.jpg","","OK"
"P6040068.jpg","ZG4215AC","OK"
"P6040069.jpg","ZD4D3CK","OK"
"P6040070.jpg","","OK"
"P6040071.jpg","","OK"
"P6040072.jpg","9I661DM","OK"
